Original,Adjusted
2.56639,4.07415
4.22448,7.46372
0,12.6509
0,8.57277
6.19466,-2.4522
27.1094,13.229
4.27706,-1.85682
49.2101,31.3921
19.7566,7.37003
30.215,18.723
37.7357,7.48575
32.8187,24.7376
13.6563,9.03547
0,9.89203
16.1652,17.282
0,3.01464
0,3.55854
0,0.462268
25.6657,13.7229
1.74832,14.3517
11.3416,4.62623
48.644,28.5694
10.9503,11.465
0,1.7027
16.1786,2.21357
0,9.32877
24.7223,22.243
23.8183,16.4308
55.2444,44.0627
0,6.17309
0,-1.88986
0,12.0227
21.1271,-1.23477
0.43175,-12.7047
0,18.2254
0,6.47151
0,9.39193
0,6.10638
23.8698,-0.334526
7.58617,11.0723
0,8.14334
0,8.33951
24.4221,10.9685
0,22.7558
24.6049,6.57388
0,5.79626
0,1.01071
7.61641,-0.63874
12.6649,6.98744
6.33836,14.3459
41.4651,17.167
18.5378,5.68994
9.76295,5.01811
13.1609,7.91078
18.3625,14.006
0,2.43977
19.8406,5.10593
5.83434,1.5066
7.00213,9.113
9.45991,5.667
2.48184,-4.08726
0,-6.96134
8.05706,5.92277
0,2.29925
3.34911,-3.56365
20.9045,22.1929
0.464444,4.98622
0,7.70741
9.46246,7.94001
0,18.593
10.5593,16.1203
16.8249,9.66021
0,-11.4031
10.0586,5.29659
7.31921,-1.24532
0,4.47899
0,3.03273
20.627,4.21634
23.9926,14.9419
6.82117,-1.60058
0,15.298
0,9.42937
0,16.2406
0,1.38191
0,3.8812
0,13.3544
1.65549,-0.288742
0,7.12755
0,14.3879
8.83093,5.35046
0,4.63532
3.33856,4.91338
0,5.0095
48.7697,21.324
31.0874,20.5748
13.5996,5.25436
1.19063,-2.46584
0,4.97612
0,4.08538
10.3268,15.2522
18.5106,11.0167
11.3503,8.4315
11.7896,14.163
0,12.0441
0,1.5363
14.6602,15.529
29.1661,9.05206
19.7121,17.0394
0,15.349
0,6.90819
3.96571,7.95885
0,4.22849
41.9975,23.6333
74.6229,44.6104
2.43061,4.70838
0,7.85431
6.30747,8.23571
0,-0.311567
25.4937,17.7037
0,-7.46199
0,3.52676
0,18.7748
0,5.74707
12.0978,-2.30543
36.7155,24.8953
0,-1.68066
0,8.55658
24.1562,9.57408
0,11.3832
0,-0.40013
1.18104,-8.73202
0,19.9913
11.231,-0.475728
10.2041,10.8469
39.5435,22.3618
20.4744,4.37932
0,15.2733
0,9.02881
0,12.5281
25.3502,22.8326
0,7.30343
2.27699,0.834646
0,2.17088
27.7858,18.5753
0,7.46293
12.7433,12.1557
17.9972,10.7911
0,-1.51094
28.1458,7.14949
4.853,14.071
7.66901,10.9832
17.6356,17.4286
3.88811,-7.93047
0,20.3126
7.98675,3.17575
0,1.12057
0,4.70537
0,7.44551
25.2949,13.7212
23.8591,16.865
24.8978,15.0138
0,20.9419
18.6434,14.6213
0,10.5519
1.10782,0.652291
0,2.83909
29.525,17.2772
0,8.99877
16.4869,17.5297
0,13.9517
3.31618,4.37809
0,3.76748
8.06898,5.4121
0,6.14573
2.5053,1.83997
0,8.13109
14.1843,11.9774
0,11.4747
53.3728,39.902
0,7.97891
0,-1.4123
0,7.29216
0,6.58672
11.5148,6.98919
3.57952,-0.753199
0.613859,3.52524
14.1611,-9.45051
11.6865,-4.72222
0,-4.61135
16.8276,16.8269
0,13.5451
0,2.59023
